Transaction_ID,Patient_ID,Operation,Start_Time,End_Time,Latency_Seconds,Status
174,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524764.925921950,1771524765.039257916,.113335966,SUCCESS
175,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524765.154011931,1771524765.276735333,.122723402,SUCCESS
176,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524765.390536515,1771524765.493540909,.103004394,SUCCESS
177,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524765.607775807,1771524765.743147462,.135371655,SUCCESS
178,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524765.857157552,1771524765.958173176,.101015624,SUCCESS
179,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524766.072557978,1771524766.189886987,.117329009,SUCCESS
180,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524766.306055053,1771524766.412556873,.106501820,SUCCESS
181,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524766.529950584,1771524766.638173866,.108223282,SUCCESS
182,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524766.751752439,1771524766.853329282,.101576843,SUCCESS
183,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524766.966901156,1771524767.076749496,.109848340,SUCCESS
184,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524767.190392173,1771524767.298710559,.108318386,SUCCESS
185,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524767.412849552,1771524767.531426205,.118576653,SUCCESS
186,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524767.645475596,1771524767.755586146,.110110550,SUCCESS
187,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524767.871303796,1771524767.993191768,.121887972,SUCCESS
188,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524768.107122554,1771524768.213540471,.106417917,SUCCESS
189,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524768.327274851,1771524768.444770666,.117495815,SUCCESS
190,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524768.559857723,1771524768.672677331,.112819608,SUCCESS
191,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524768.788012530,1771524768.905386903,.117374373,SUCCESS
192,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524769.019546059,1771524769.136714425,.117168366,SUCCESS
193,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524769.252278833,1771524769.370943453,.118664620,SUCCESS
194,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524769.487751706,1771524769.600773921,.113022215,SUCCESS
195,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524769.717051954,1771524769.855475494,.138423540,SUCCESS
196,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524769.972520755,1771524770.095160420,.122639665,SUCCESS
197,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524770.210128506,1771524770.323602138,.113473632,SUCCESS
198,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524770.438543222,1771524770.543093128,.104549906,SUCCESS
199,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524770.657652000,1771524770.767693006,.110041006,SUCCESS
200,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524770.883195111,1771524770.992753800,.109558689,SUCCESS
201,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524771.109511051,1771524771.230029339,.120518288,SUCCESS
202,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524771.344861319,1771524771.447574359,.102713040,SUCCESS
203,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524771.562645849,1771524771.680901955,.118256106,SUCCESS
204,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524771.796376358,1771524771.990353820,.193977462,SUCCESS
205,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524772.107035869,1771524772.228128278,.121092409,SUCCESS
206,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524772.342213431,1771524772.444667162,.102453731,SUCCESS
207,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524772.558647711,1771524772.673022275,.114374564,SUCCESS
208,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524772.788932195,1771524772.909537886,.120605691,SUCCESS
